x,y,z
563056.9254456947,6187072.753675935,148.63385009765625
563056.9359474838,6187072.753828582,148.63385009765625
563056.941198378,6187072.753904905,148.6338348388672
563056.9517001674,6187072.754057553,148.6338348388672
563056.9569510616,6187072.754133876,148.63381958007812
563056.9622019563,6187072.7542102,148.63491821289062
563056.9727037454,6187072.754362847,148.6348876953125
563056.9779546399,6187072.7544391705,148.63487243652344
563056.988456429,6187072.754591817,148.63485717773438
563056.9937073237,6187072.754668142,148.6348419189453
563056.9989582179,6187072.7547444645,148.63482666015625
563057.0094600073,6187072.754897112,148.63482666015625
563057.0147109015,6187072.754973436,148.6348114013672
563057.0199617962,6187072.7550497595,148.6348114013672
563057.0304635852,6187072.755202405,148.63482666015625
563057.0357144799,6187072.75527873,148.63482666015625
563057.0409653742,6187072.755355054,148.6348419189453
563057.0514671635,6187072.755507701,148.63485717773438
563057.0672198471,6187072.75573667,148.63487243652344
563057.0724707415,6187072.755812995,148.6348876953125
563057.0778572225,6187072.746561284,148.6348876953125
563057.0883590116,6187072.746713932,148.6348876953125
563057.0936099063,6187072.746790255,148.63487243652344
563057.0988608005,6187072.746866579,148.63589477539062
563057.1093625899,6187072.747019227,148.63587951660156
563057.1251152735,6187072.747248197,148.63583374023438
563057.1303661679,6187072.747324521,148.6358184814453
563057.1461188515,6187072.747553493,148.6357879638672
563057.1566206405,6187072.74770614,148.63577270507812
563057.1618715352,6187072.747782463,148.6357421875
563057.1723733242,6187072.747935112,148.63572692871094
563057.1828751136,6187072.748087759,148.63571166992188
563057.1881260079,6187072.748164083,148.6356964111328
563057.1986277968,6187072.74831673,148.63568115234375
563057.2143804806,6187072.748545702,148.63563537597656
563057.2248822699,6187072.748698349,148.6356201171875
563057.2301331642,6187072.748774674,148.63560485839844
563057.2406349536,6187072.748927321,148.6355743408203
563057.2563876369,6187072.7491562925,148.6355438232422
563057.2668894263,6187072.74930894,148.63671875
563057.2826421099,6187072.749537912,148.63670349121094
563057.2983947932,6187072.749766884,148.63670349121094
563057.3088965826,6187072.749919531,148.63668823242188
563057.3193983715,6187072.750072179,148.63668823242188
563057.3299001605,6187072.750224828,148.6366729736328
563057.3351510552,6187072.750301152,148.6366729736328
563057.3456528442,6187072.750453799,148.63665771484375
563057.3561546332,6187072.750606447,148.6366424560547
563057.3667920096,6187072.741431061,148.63662719726562
563057.3772937986,6187072.741583711,148.6365966796875
563057.3825446933,6187072.741660033,148.63656616210938
563057.3930464822,6187072.741812682,148.63653564453125
563057.4035482713,6187072.74196533,148.63650512695312
563057.4140500603,6187072.742117979,148.63645935058594
563057.4245518497,6187072.742270626,148.6364288330078
563057.4350536386,6187072.742423275,148.63638305664062
563057.4455554277,6187072.742575923,148.63633728027344
563057.4508063224,6187072.742652248,148.63742065429688
563057.4613081113,6187072.742804896,148.6373748779297
563057.4823116898,6187072.743110191,148.6373291015625
563057.4928134788,6187072.74326284,148.63729858398438
563057.5033152677,6187072.743415489,148.6372833251953
563057.5138170568,6187072.743568137,148.63726806640625
563057.5348206352,6187072.743873434,148.6372528076172
563057.5453224242,6187072.744026083,148.63723754882812
563057.5558242135,6187072.744178731,148.63722229003906
563057.5663260026,6187072.7443313785,148.63720703125
563057.5768277915,6187072.744484028,148.63719177246094
563057.5873295806,6187072.744636676,148.63717651367188
563057.59783137,6187072.744789326,148.6371612548828
563057.608333159,6187072.744941972,148.6371612548828
563057.6188349479,6187072.7450946225,148.63714599609375
563057.629336737,6187072.745247271,148.6371307373047
563057.6398385264,6187072.745399919,148.63711547851562
563057.6503403154,6187072.745552568,148.63711547851562
563057.6555912101,6187072.7456288915,148.63836669921875
563057.6767303757,6187072.7366061555,148.63836669921875
563057.6872321648,6187072.736758805,148.63836669921875
563057.7029848485,6187072.736987778,148.6383819580078
563057.7134866379,6187072.7371404255,148.6383819580078
563057.7344902159,6187072.737445725,148.63841247558594
563057.7449920049,6187072.7375983745,148.638427734375
563057.7554937943,6187072.737751023,148.63845825195312
563057.7659955834,6187072.737903671,148.63848876953125
563057.7764973724,6187072.738056321,148.63853454589844
563057.7869991615,6187072.73820897,148.63858032226562
563057.7975009509,6187072.738361618,148.63861083984375
563057.8237554237,6187072.738743242,148.63865661621094
563057.8342572126,6187072.738895889,148.63864135742188
563057.8447590016,6187072.73904854,148.63861083984375
563057.855260791,6187072.739201188,148.63856506347656
563057.8657625801,6187072.739353838,148.6385040283203
563057.8762643691,6187072.739506488,148.63980102539062
563057.886766158,6187072.739659137,148.6396942138672
563057.8972679476,6187072.7398117855,148.63958740234375
563057.9077697365,6187072.739964435,148.63946533203125
563057.9235224202,6187072.740193408,148.63934326171875
