x,y,z
563033.5574036153,6187073.244447048,148.78024291992188
563033.5679054027,6187073.244599638,148.78016662597656
563033.5784071902,6187073.244752228,148.78009033203125
563033.5889089776,6187073.244904819,148.7805633544922
563033.5994107653,6187073.24505741,148.78050231933594
563033.6046616589,6187073.2451337045,148.78042602539062
563033.6151634463,6187073.245286295,148.78036499023438
563033.625665234,6187073.245438886,148.78028869628906
563033.6361670215,6187073.245591477,148.7802276611328
563033.6414179154,6187073.245667771,148.7801513671875
563033.6519197028,6187073.245820363,148.78009033203125
563033.6624214902,6187073.245972953,148.780029296875
563033.6834250654,6187073.246278135,148.77989196777344
563033.6939268528,6187073.246430725,148.77981567382812
563033.6991777467,6187073.246507021,148.7797393798828
563033.709679534,6187073.24665961,148.7796630859375
563033.7201813214,6187073.246812202,148.7795867919922
563033.7306831088,6187073.246964792,148.77951049804688
563033.7411848966,6187073.247117383,148.77943420410156
563033.751686684,6187073.247269973,148.7793426513672
563033.7621884714,6187073.247422566,148.77923583984375
563033.7726902588,6187073.247575156,148.7791290283203
563033.7831920466,6187073.247727747,148.77938842773438
563033.793693834,6187073.247880338,148.77928161621094
563033.8041956214,6187073.248032929,148.77919006347656
563033.8251991966,6187073.248338112,148.7789764404297
563033.8357009839,6187073.248490702,148.7788848876953
563033.8462027713,6187073.248643293,148.77879333496094
563033.8567045592,6187073.248795885,148.77870178222656
563033.8672063465,6187073.248948475,148.77862548828125
563033.8777081339,6187073.249101067,148.77854919433594
563033.8882099213,6187073.249253658,148.77847290039062
563033.8987117091,6187073.249406249,148.7783966064453
563033.9144643904,6187073.249635137,148.7783203125
563033.9249661778,6187073.249787727,148.7782440185547
563033.9354679652,6187073.249940319,148.77816772460938
563033.9459697526,6187073.25009291,148.77809143066406
563033.956607077,6187073.240917467,148.77801513671875
563033.9671088645,6187073.241070058,148.77793884277344
563033.9776106519,6187073.24122265,148.77784729003906
563033.9933633332,6187073.241451537,148.7777557373047
563034.0038651206,6187073.24160413,148.77786254882812
563034.0143669085,6187073.2417567205,148.7777557373047
563034.0301195898,6187073.241985607,148.7776336669922
563034.0406213772,6187073.242138199,148.77752685546875
563034.0511231646,6187073.24229079,148.77740478515625
563034.061624952,6187073.242443382,148.77728271484375
563034.0773776333,6187073.24267227,148.77716064453125
563034.0878794207,6187073.242824861,148.77703857421875
563034.0983812085,6187073.242977452,148.77691650390625
563034.1141338898,6187073.243206341,148.7768096923828
563034.1246356772,6187073.243358932,148.7766876220703
563034.1351374646,6187073.243511524,148.77658081054688
563034.1613919334,6187073.243893004,148.7763671875
563034.1718937212,6187073.244045596,148.77626037597656
563034.1876464025,6187073.244274483,148.7761688232422
563034.1981481899,6187073.244427076,148.7760772705078
563034.2244026586,6187073.244808556,148.77587890625
563034.234904446,6187073.244961147,148.77578735351562
563034.2506571274,6187073.245190036,148.7760467529297
563034.2664098087,6187073.245418923,148.7759552001953
563034.2769115961,6187073.2455715155,148.77587890625
563034.3031660648,6187073.2459529955,148.77569580078125
563034.329420534,6187073.246334475,148.77552795410156
563034.3451732153,6187073.246563365,148.7754364013672
563034.371427684,6187073.246944846,148.7752685546875
563034.3819294713,6187073.247097438,148.77517700195312
563034.3976821527,6187073.247326327,148.7751007080078
563034.40818394,6187073.247478919,148.77500915527344
563034.4344384087,6187073.2478604,148.77481079101562
563034.4501910901,6187073.248089289,148.77468872070312
563034.4659437714,6187073.248318179,148.7745819091797
563034.4764455587,6187073.248470771,148.77447509765625
563034.4921982401,6187073.24869966,148.77435302734375
563034.5027000279,6187073.248852253,148.7742462158203
563034.5184527088,6187073.249081141,148.77423095703125
563034.5499580714,6187073.249538919,148.77403259277344
563034.5605953968,6187073.240363478,148.77394104003906
563034.5763480781,6187073.240592368,148.7738494873047
563034.5921007595,6187073.240821256,148.77377319335938
563034.6026025473,6187073.24097385,148.77369689941406
563034.6183552282,6187073.241202738,148.77362060546875
563034.6341079096,6187073.241431629,148.77352905273438
563034.6446096974,6187073.241584222,148.77345275878906
563034.6603623787,6187073.241813111,148.7733612060547
563034.6761150596,6187073.242042001,148.77325439453125
563034.7023695288,6187073.242423483,148.77304077148438
563034.7181222098,6187073.242652373,148.77293395996094
563034.7338748911,6187073.242881264,148.77281188964844
563034.7496275724,6187073.243110154,148.772705078125
563034.7758820412,6187073.243491637,148.77247619628906
563034.7916347225,6187073.243720527,148.77235412597656
563034.8073874038,6187073.243949417,148.7721405029297
563034.8231400852,6187073.244178308,148.77203369140625
563034.8388927665,6187073.244407198,148.77194213867188
563034.8546454478,6187073.244636087,148.7718505859375
563034.8703981291,6187073.244864978,148.77174377441406
563034.8861508105,6187073.245093867,148.7716522216797
563034.9019034918,6187073.245322758,148.77154541015625
563034.9124052792,6187073.245475353,148.7714385986328
563034.9281579605,6187073.245704243,148.77133178710938
563034.9439106418,6187073.245933134,148.77122497558594
563034.9596633232,6187073.246162024,148.77110290527344
563034.9754160045,6187073.246390915,148.77096557617188
563034.9911686855,6187073.246619806,148.77085876464844
563035.0069213668,6187073.246848696,148.77073669433594
563035.0226740481,6187073.247077587,148.7706298828125
