x,y,z
562769.5734550672,6186410.878313717,146.76492309570312
562769.5733201292,6186410.8876417475,146.7649688720703
562769.5731851911,6186410.896969779,146.76498413085938
562769.5729153149,6186410.91562584,146.76499938964844
562769.5727803768,6186410.9249538705,146.76499938964844
562769.5726454387,6186410.934281901,146.76498413085938
562769.5723755626,6186410.9529379625,146.7649688720703
562769.5722406246,6186410.962265993,146.76495361328125
562769.5721056865,6186410.9715940235,146.76495361328125
562769.5717008723,6186410.999578115,146.7649688720703
562769.5715659341,6186411.0089061465,146.76498413085938
562769.571296058,6186411.027562207,146.76499938964844
562769.57116112,6186411.036890238,146.76502990722656
562769.5761429371,6186411.0556222685,146.76483154296875
562769.5760079989,6186411.064950299,146.76492309570312
562769.5757381228,6186411.08360636,146.76502990722656
562769.5756031846,6186411.092934391,146.7651824951172
562769.5753333085,6186411.111590452,146.76539611816406
562769.5751983704,6186411.1209184835,146.7656707763672
562769.5747935561,6186411.1489025755,146.76632690429688
562769.57452368,6186411.1675586365,146.76669311523438
562769.5741188657,6186411.195542728,146.76747131347656
562769.5738489894,6186411.21419879,146.76788330078125
562769.5737140514,6186411.22352682,146.76828002929688
562769.5734441752,6186411.242182881,146.76864624023438
562769.5730393609,6186411.270166973,146.76927185058594
562769.5727694847,6186411.288823034,146.76954650878906
562769.5726345467,6186411.298151065,146.76980590820312
562769.5723646705,6186411.316807126,146.7700653076172
562769.5720947942,6186411.335463187,146.77032470703125
562769.5772115487,6186411.344867188,146.770263671875
562769.5769416725,6186411.363523248,146.77047729492188
562769.5766717963,6186411.382179311,146.77069091796875
562769.57640192,6186411.400835371,146.77093505859375
562769.576266982,6186411.410163402,146.77117919921875
562769.5759971058,6186411.428819464,146.771484375
562769.5757272296,6186411.447475525,146.77183532714844
562769.5754573534,6186411.466131586,146.77223205566406
562769.5753224152,6186411.475459616,146.7726593017578
562769.575052539,6186411.494115678,146.77313232421875
562769.5745127866,6186411.5314278,146.774169921875
562769.5742429104,6186411.550083861,146.77471923828125
562769.5738380961,6186411.578067953,146.77581787109375
562769.5735682198,6186411.596724013,146.77633666992188
562769.5732983436,6186411.615380076,146.77679443359375
562769.5730284674,6186411.634036136,146.77720642089844
562769.5727585912,6186411.652692198,146.77752685546875
562769.5777404074,6186411.671424229,146.7777557373047
562769.5774705312,6186411.690080291,146.77755737304688
562769.577200655,6186411.708736352,146.7776641845703
562769.5769307788,6186411.727392413,146.7777557373047
562769.5766609025,6186411.746048474,146.77784729003906
562769.5763910263,6186411.764704535,146.77793884277344
562769.57612115,6186411.783360596,146.77804565429688
562769.5808330899,6186411.820748689,146.77828979492188
562769.5805632136,6186411.839404751,146.7784423828125
562769.5802933373,6186411.858060812,146.77865600585938
562769.5747717688,6186411.876640902,146.7789764404297
562769.5745018926,6186411.895296963,146.77935791015625
562769.5742320163,6186411.913953024,146.77981567382812
562769.57396214,6186411.932609086,146.7803192138672
562769.5735573256,6186411.960593177,146.78089904785156
562769.5732874494,6186411.979249238,146.7815399169922
562769.5730175732,6186411.997905299,146.78224182128906
562769.5727476969,6186412.016561361,146.7830352783203
562769.5724778207,6186412.035217422,146.78384399414062
